date,season,location,team1,team2,team1_colleyrating,team2_colleyrating,result,prediction,accuracy
2023-08-27,2023,H,NEW,LIV,1.2120751257298419,1.3329442151049333,0.0,0,1.0
2023-09-01,2023,A,WHU,LUT,1.0264854455788088,0.8460938951899134,1.0,1,1.0
2023-09-01,2023,H,LUT,WHU,0.8460938951899134,1.0264854455788088,0.0,0,1.0
2023-09-02,2023,A,TOT,BUR,1.3169979792918416,0.7440976488545772,1.0,1,1.0
2023-09-02,2023,A,NEW,BRH,1.2120751257298419,1.1705513725494523,0.0,1,0.0
2023-09-02,2023,A,FUL,MNC,1.02217513304525,1.2748785681190578,0.0,0,1.0
2023-09-02,2023,A,EVE,SHU,0.9321667371505551,0.75893311959993,0.5,1,0.5
2023-09-02,2023,H,BRH,NEW,1.1705513725494523,1.2120751257298419,1.0,0,0.0
2023-09-02,2023,A,BOU,BRE,0.8832518150652464,1.1225860816469648,0.5,0,0.5
2023-09-02,2023,A,NTG,CHE,1.0719110498062716,1.094839190625209,1.0,0,0.0
2023-09-02,2023,H,SHU,EVE,0.75893311959993,0.9321667371505551,0.5,0,0.5
2023-09-02,2023,H,MNC,FUL,1.2748785681190578,1.02217513304525,1.0,1,1.0
2023-09-02,2023,H,CHE,NTG,1.094839190625209,1.0719110498062716,0.0,1,0.0
2023-09-02,2023,H,BUR,TOT,0.7440976488545772,1.3169979792918416,0.0,0,1.0
2023-09-02,2023,H,BRE,BOU,1.1225860816469648,0.8832518150652464,0.5,1,0.5
2023-09-03,2023,A,AVA,LIV,1.1895052261646033,1.3329442151049333,0.0,0,1.0
2023-09-03,2023,H,CRY,WLV,1.0914452892782167,1.0014527441074592,1.0,1,1.0
2023-09-03,2023,H,ARS,MUN,1.3320217977540982,1.07558756533776,1.0,1,1.0
2023-09-03,2023,H,LIV,AVA,1.3329442151049333,1.1895052261646033,1.0,1,1.0
2023-09-03,2023,A,WLV,CRY,1.0014527441074592,1.0914452892782167,0.0,0,1.0
2023-09-03,2023,A,MUN,ARS,1.07558756533776,1.3320217977540982,0.0,0,1.0
2023-09-16,2023,A,LIV,WLV,1.3329442151049333,1.0014527441074592,1.0,1,1.0
2023-09-16,2023,A,CRY,AVA,1.0914452892782167,1.1895052261646033,0.0,0,1.0
2023-09-16,2023,A,BRH,MUN,1.1705513725494523,1.07558756533776,1.0,1,1.0
2023-09-16,2023,A,SHU,TOT,0.75893311959993,1.3169979792918416,0.0,0,1.0
2023-09-16,2023,A,MNC,WHU,1.2748785681190578,1.0264854455788088,1.0,1,1.0
2023-09-16,2023,A,BRE,NEW,1.1225860816469648,1.2120751257298419,0.0,0,1.0
2023-09-16,2023,A,LUT,FUL,0.8460938951899134,1.02217513304525,0.0,0,1.0
2023-09-16,2023,H,WLV,LIV,1.0014527441074592,1.3329442151049333,0.0,0,1.0
2023-09-16,2023,H,AVA,CRY,1.1895052261646033,1.0914452892782167,1.0,1,1.0
2023-09-16,2023,H,FUL,LUT,1.02217513304525,0.8460938951899134,1.0,1,1.0
2023-09-16,2023,H,MUN,BRH,1.07558756533776,1.1705513725494523,0.0,0,1.0
2023-09-16,2023,H,TOT,SHU,1.3169979792918416,0.75893311959993,1.0,1,1.0
2023-09-16,2023,H,WHU,MNC,1.0264854455788088,1.2748785681190578,0.0,0,1.0
2023-09-16,2023,H,NEW,BRE,1.2120751257298419,1.1225860816469648,1.0,1,1.0
2023-09-17,2023,H,BOU,CHE,0.8832518150652464,1.094839190625209,0.5,0,0.5
2023-09-17,2023,A,ARS,EVE,1.3320217977540982,0.9321667371505551,1.0,1,1.0
2023-09-17,2023,A,CHE,BOU,1.094839190625209,0.8832518150652464,0.5,1,0.5
2023-09-17,2023,H,EVE,ARS,0.9321667371505551,1.3320217977540982,0.0,0,1.0
2023-09-18,2023,A,BUR,NTG,0.7440976488545772,1.0719110498062716,0.5,0,0.5
2023-09-18,2023,H,NTG,BUR,1.0719110498062716,0.7440976488545772,0.5,1,0.5
2023-09-23,2023,H,BRE,EVE,1.1225860816469648,0.9321667371505551,0.0,1,0.0
2023-09-23,2023,A,MUN,BUR,1.07558756533776,0.7440976488545772,1.0,1,1.0
2023-09-23,2023,H,MNC,NTG,1.2748785681190578,1.0719110498062716,1.0,1,1.0
2023-09-23,2023,H,CRY,FUL,1.0914452892782167,1.02217513304525,0.5,1,0.5
2023-09-23,2023,A,FUL,CRY,1.02217513304525,1.0914452892782167,0.5,0,0.5
2023-09-23,2023,A,WLV,LUT,1.0014527441074592,0.8460938951899134,0.5,1,0.5
2023-09-23,2023,A,NTG,MNC,1.0719110498062716,1.2748785681190578,0.0,0,1.0
2023-09-23,2023,A,EVE,BRE,0.9321667371505551,1.1225860816469648,1.0,0,0.0
2023-09-23,2023,H,BUR,MUN,0.7440976488545772,1.07558756533776,0.0,0,1.0
2023-09-23,2023,H,LUT,WLV,0.8460938951899134,1.0014527441074592,0.5,0,0.5
2023-09-24,2023,H,ARS,TOT,1.3320217977540982,1.3169979792918416,0.5,1,0.5
2023-09-24,2023,A,BOU,BRH,0.8832518150652464,1.1705513725494523,0.0,0,1.0
2023-09-24,2023,A,AVA,CHE,1.1895052261646033,1.094839190625209,1.0,1,1.0
2023-09-24,2023,A,WHU,LIV,1.0264854455788088,1.3329442151049333,0.0,0,1.0
2023-09-24,2023,A,NEW,SHU,1.2120751257298419,0.75893311959993,1.0,1,1.0
2023-09-24,2023,H,BRH,BOU,1.1705513725494523,0.8832518150652464,1.0,1,1.0
2023-09-24,2023,H,CHE,AVA,1.094839190625209,1.1895052261646033,0.0,0,1.0
2023-09-24,2023,H,LIV,WHU,1.3329442151049333,1.0264854455788088,1.0,1,1.0
2023-09-24,2023,H,SHU,NEW,0.75893311959993,1.2120751257298419,0.0,0,1.0
2023-09-24,2023,A,TOT,ARS,1.3169979792918416,1.3320217977540982,0.5,0,0.5
2023-09-30,2023,H,AVA,BRH,1.1895052261646033,1.1705513725494523,1.0,1,1.0
2023-09-30,2023,H,BOU,ARS,0.8832518150652464,1.3320217977540982,0.0,0,1.0
2023-09-30,2023,H,EVE,LUT,0.9321667371505551,0.8460938951899134,0.0,1,0.0
2023-09-30,2023,H,MUN,CRY,1.07558756533776,1.0914452892782167,0.0,0,1.0
2023-09-30,2023,H,NEW,BUR,1.2120751257298419,0.7440976488545772,1.0,1,1.0
2023-09-30,2023,H,WHU,SHU,1.0264854455788088,0.75893311959993,1.0,1,1.0
2023-09-30,2023,H,WLV,MNC,1.0014527441074592,1.2748785681190578,1.0,0,0.0
2023-09-30,2023,H,TOT,LIV,1.3169979792918416,1.3329442151049333,1.0,0,0.0
2023-09-30,2023,A,LIV,TOT,1.3329442151049333,1.3169979792918416,0.0,1,0.0
2023-09-30,2023,A,MNC,WLV,1.2748785681190578,1.0014527441074592,0.0,1,0.0
2023-09-30,2023,A,SHU,WHU,0.75893311959993,1.0264854455788088,0.0,0,1.0
2023-09-30,2023,A,BUR,NEW,0.7440976488545772,1.2120751257298419,0.0,0,1.0
2023-09-30,2023,A,CRY,MUN,1.0914452892782167,1.07558756533776,1.0,1,1.0
2023-09-30,2023,A,LUT,EVE,0.8460938951899134,0.9321667371505551,1.0,0,0.0
2023-09-30,2023,A,ARS,BOU,1.3320217977540982,0.8832518150652464,1.0,1,1.0
2023-09-30,2023,A,BRH,AVA,1.1705513725494523,1.1895052261646033,0.0,0,1.0
2023-10-01,2023,A,BRE,NTG,1.1225860816469648,1.0719110498062716,0.5,1,0.5
2023-10-01,2023,H,NTG,BRE,1.0719110498062716,1.1225860816469648,0.5,0,0.5
2023-10-02,2023,A,CHE,FUL,1.094839190625209,1.02217513304525,1.0,1,1.0
2023-10-02,2023,H,FUL,CHE,1.02217513304525,1.094839190625209,0.0,0,1.0
2023-10-03,2023,A,BUR,LUT,0.7440976488545772,0.8460938951899134,1.0,0,0.0
2023-10-03,2023,H,LUT,BUR,0.8460938951899134,0.7440976488545772,0.0,1,0.0
2023-08-25,2023,H,CHE,LUT,1.094839190625209,0.8460938951899134,1.0,1,1.0
2023-08-25,2023,A,LUT,CHE,0.8460938951899134,1.094839190625209,0.0,0,1.0
2023-08-26,2023,H,BRH,WHU,1.1705513725494523,1.0264854455788088,0.0,1,0.0
2023-08-26,2023,A,FUL,ARS,1.02217513304525,1.3320217977540982,0.5,0,0.5
2023-08-26,2023,A,CRY,BRE,1.0914452892782167,1.1225860816469648,0.5,0,0.5
2023-08-26,2023,A,WLV,EVE,1.0014527441074592,0.9321667371505551,1.0,1,1.0
2023-08-26,2023,A,NTG,MUN,1.0719110498062716,1.07558756533776,0.0,0,1.0
2023-08-26,2023,A,WHU,BRH,1.0264854455788088,1.1705513725494523,1.0,0,0.0
2023-08-26,2023,H,MUN,NTG,1.07558756533776,1.0719110498062716,1.0,1,1.0
2023-08-26,2023,H,EVE,WLV,0.9321667371505551,1.0014527441074592,0.0,0,1.0
2023-08-26,2023,H,BRE,CRY,1.1225860816469648,1.0914452892782167,0.5,1,0.5
2023-08-26,2023,H,ARS,FUL,1.3320217977540982,1.02217513304525,0.5,1,0.5
2023-08-26,2023,H,BOU,TOT,0.8832518150652464,1.3169979792918416,0.0,0,1.0
2023-08-26,2023,A,TOT,BOU,1.3169979792918416,0.8832518150652464,1.0,1,1.0
2023-08-27,2023,A,AVA,BUR,1.1895052261646033,0.7440976488545772,1.0,1,1.0
2023-08-27,2023,A,MNC,SHU,1.2748785681190578,0.75893311959993,1.0,1,1.0
2023-08-27,2023,A,LIV,NEW,1.3329442151049333,1.2120751257298419,1.0,1,1.0
2023-08-27,2023,H,BUR,AVA,0.7440976488545772,1.1895052261646033,0.0,0,1.0
2023-08-27,2023,H,SHU,MNC,0.75893311959993,1.2748785681190578,0.0,0,1.0
2023-08-27,2023,H,NEW,LIV,1.2120751257298419,1.3329442151049333,0.0,0,1.0
2023-09-01,2023,A,WHU,LUT,1.0264854455788088,0.8460938951899134,1.0,1,1.0
2023-09-01,2023,H,LUT,WHU,0.8460938951899134,1.0264854455788088,0.0,0,1.0
2023-09-02,2023,A,TOT,BUR,1.3169979792918416,0.7440976488545772,1.0,1,1.0
2023-09-02,2023,A,NEW,BRH,1.2120751257298419,1.1705513725494523,0.0,1,0.0
2023-09-02,2023,A,FUL,MNC,1.02217513304525,1.2748785681190578,0.0,0,1.0
